,source,target,type,url,content
117,ACTIA,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
118,ACT’IV,AN2V,est membre,https://an2v.org/membres/,
119,ADVANCED PROJECTS CONSULTING,AN2V,est membre,https://an2v.org/membres/,
120,ALTETIA,AN2V,est membre,https://an2v.org/membres/,
121,ALTRNATIV,UGAP,est fourni par,https://www.ugap.fr/altrnativ-f19315,
122,ALTRNATIV,Éric Léandri,a pour actionnaire,https://www.hatvp.fr/fiche-organisation/?organisation=884983958,
123,ALTRNATIV,TWO-I,est sous-traitant de,https://www.streetpress.com/sujet/1730128027-mairie-saint-denis-mathieu-hanotin-video-surveillance-algorithmique-logiciel-cameras-technologie-intelligence-artificielle,
124,ALTRNATIV,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=533445318#&fiche=O3WXO0KH|https://www.hatvp.fr/fiche-organisation/?organisation=818007288,
125,ALTRNATIV,CEIS,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821,
126,ALTROS INGÉNIERIE,AN2V,est membre,https://an2v.org/membres/,
127,ALYCE,AN2V,est membre,https://an2v.org/membres/,
128,ALYCE,UGAP,est fourni par,https://www.ugap.fr/alyce-f17652,
129,AMBIENT.AI,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ambient.ai/integration,
130,AMBIENT.AI,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/ambient.ai/integration,
131,APEX SOLUTIONS,AN2V,est membre,https://an2v.org/membres/,
132,APHELIO,AN2V,est membre,https://an2v.org/membres/,
133,ARASTELLE,AN2V,est membre,https://an2v.org/membres/,
134,ARDANTI DEFENSE,AN2V,est membre,https://an2v.org/membres/,
135,ARDANTI DEFENSE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
136,ARITECH,AN2V,est membre,https://an2v.org/membres/,
137,ASC ELECTRONIQUE,AN2V,est membre,https://an2v.org/membres/,
138,ATOS,EVIDEN,a pour actionnaire,https://atos.net/fr/2025/communiques-de-presse_2025_02_24/eviden-devoile-une-nouvelle-generation-de-serveurs-dentreprise-pour-lia-et-les-applications-critiques,
139,ATOS,IPSOTEK,a pour actionnaire,https://www.laquadrature.net/2024/01/26/vsa-et-jeux-olympiques-coup-denvoi-pour-les-entreprises-de-surveillance/,
140,ATOS,CEIS,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821,
141,ATOS,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
142,ATTRYA,AN2V,est membre,https://an2v.org/membres/,
143,AVESCOM,AN2V,est membre,https://an2v.org/membres/,
144,AVM INTEGRATION,UGAP,est fourni par,https://www.ugap.fr/avm-f15485,
145,AVM INTEGRATION,vidéo verbalisation,fonctionnalité,https://www.avm-integration.com/wp-content/uploads/2019/03/AVM-CAPT-IMMAT-2017-min.pdf,
146,AVM INTEGRATION,GENETEC,fonctionne avec,https://www.avm-integration.com/partenaires/genetec/,
147,AV PROTEC,AN2V,est membre,https://an2v.org/membres/,
148,AXIS COMMUNICATIONS,AN2V,est membre,https://an2v.org/membres/,
149,AXIS COMMUNICATIONS,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
150,AXIS COMMUNICATIONS,cameras,est fabriquant de,https://www.milestonesys.com/fr/technology-partner-finder/axis-communications/,
151,AXIS COMMUNICATIONS,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/axis-communications/,
152,AXIS COMMUNICATIONS,THEMYS,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html,
153,AXIS COMMUNICATIONS,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
154,AZURSOFT,AN2V,est membre,https://an2v.org/membres/,
155,AZURSOFT,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
156,BARKENE,AN2V,est membre,https://an2v.org/membres/,
157,BOSCH SECURITY,UGAP,est fourni par,https://www.ugap.fr/bosch-f16765,
158,BOSCH SECURITY,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
