source,target,type,url
ville de Suresnes,XXII GROUP,a pour client,https://www.leparisien.fr/hauts-de-seine-92/suresnes-92150/dans-les-rues-de-suresnes-l-intelligence-artificielle-prete-a-traquer-les-comportements-suspects-03-04-2021-8430581.php
ville de Toulon,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Tourcoing,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Tremblay en France,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
ville de Troyes,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137
ville de Valbonne Sophia Antipolis,VIZZIA,a pour client,https://www.vizzia.com/nos-references
ville de Valence,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Vannes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Versailles,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137
ville de Vienne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Villeneuve-sur-Lot,VIZZIA,a pour client,https://www.vizzia.com/nos-references
ville de Villeurbanne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville de Vincennes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
ville d'Ollioules,VIZZIA,a pour client,https://www.vizzia.com/nos-references
ville du Havre,VIZZIA,a pour client,https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826
ville du Kremlin-Bicêtre,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
La défense,THALES,est utilisé par,https://www.defense-92.fr/securite/thales-veut-rendre-le-quartier-de-la-defense-plus-sur-avec-sa-solution-safe-city-51211
ACEL GENESYS,AN2V,est membre,https://an2v.org/membres/
ACTI,cameras,est fabriquant de,https://www.acti.com/technologies/face-recognition
ACTIA,AN2V,est membre,https://an2v.org/membres/
ACTIA,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
ACTIA,VMS - hyperviseur,fonctionnalité,
ACTIA,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
ACT’IV,AN2V,est membre,https://an2v.org/membres/
ADVANCED PROJECTS CONSULTING,AN2V,est membre,https://an2v.org/membres/
ALTETIA,AN2V,est membre,https://an2v.org/membres/
ALTRNATIV,UGAP,est fourni par,https://www.ugap.fr/altrnativ-f19315
ALTRNATIV,Éric Léandri,a pour actionnaire,https://www.hatvp.fr/fiche-organisation/?organisation=884983958
ALTRNATIV,TWO-I,est sous-traitant de,https://www.streetpress.com/sujet/1730128027-mairie-saint-denis-mathieu-hanotin-video-surveillance-algorithmique-logiciel-cameras-technologie-intelligence-artificielle
ALTRNATIV,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=533445318#&fiche=O3WXO0KH|https://www.hatvp.fr/fiche-organisation/?organisation=818007288
ALTRNATIV,CEIS,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821
ALTROS INGÉNIERIE,AN2V,est membre,https://an2v.org/membres/
ALYCE,AN2V,est membre,https://an2v.org/membres/
ALYCE,UGAP,est fourni par,https://www.ugap.fr/alyce-f17652
AMBIENT.AI,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ambient.ai/integration
AMBIENT.AI,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/ambient.ai/integration
APEX SOLUTIONS,AN2V,est membre,https://an2v.org/membres/
APHELIO,AN2V,est membre,https://an2v.org/membres/
ARASTELLE,AN2V,est membre,https://an2v.org/membres/
ARDANTI DEFENSE,AN2V,est membre,https://an2v.org/membres/
ARDANTI DEFENSE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
ARITECH,AN2V,est membre,https://an2v.org/membres/
ASC ELECTRONIQUE,AN2V,est membre,https://an2v.org/membres/
ATOS,EVIDEN,a pour actionnaire,https://atos.net/fr/2025/communiques-de-presse_2025_02_24/eviden-devoile-une-nouvelle-generation-de-serveurs-dentreprise-pour-lia-et-les-applications-critiques
ATOS,IPSOTEK,a pour actionnaire,https://www.laquadrature.net/2024/01/26/vsa-et-jeux-olympiques-coup-denvoi-pour-les-entreprises-de-surveillance/
ATOS,CEIS,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821
ATOS,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
ATTRYA,AN2V,est membre,https://an2v.org/membres/
AVESCOM,AN2V,est membre,https://an2v.org/membres/
AVM INTEGRATION,UGAP,est fourni par,https://www.ugap.fr/avm-f15485
AVM INTEGRATION,vidéo verbalisation,fonctionnalité,https://www.avm-integration.com/wp-content/uploads/2019/03/AVM-CAPT-IMMAT-2017-min.pdf
AVM INTEGRATION,GENETEC,fonctionne avec,https://www.avm-integration.com/partenaires/genetec/
AV PROTEC,AN2V,est membre,https://an2v.org/membres/
AXIS COMMUNICATIONS,AN2V,est membre,https://an2v.org/membres/
AXIS COMMUNICATIONS,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
AXIS COMMUNICATIONS,cameras,est fabriquant de,https://www.milestonesys.com/fr/technology-partner-finder/axis-communications/
AXIS COMMUNICATIONS,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/axis-communications/
AXIS COMMUNICATIONS,THEMYS,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html
AXIS COMMUNICATIONS,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
AZURSOFT,AN2V,est membre,https://an2v.org/membres/
AZURSOFT,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
BARKENE,AN2V,est membre,https://an2v.org/membres/
BOSCH SECURITY,UGAP,est fourni par,https://www.ugap.fr/bosch-f16765
BOSCH SECURITY,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
BOSCH SECURITY,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/bosch-security-systems-b.v/bosch-object-detection--ai-alarm-verification/
BOSCH SECURITY,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/bosch
BOSCH SECURITY,Cameras,est fabriquant de,https://www.genetec.com/partners/partner-integration-hub/bosch
BOSCH SECURITY,VSA - traffic,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/bosch/video-analytics-its
BOSCH SECURITY,THEMYS,a pour client,https://www.themysgroup.com/our-solutions-cctv-et-optronics-w1.html
BRIEFCAM,UGAP,est fourni par,https://www.ugap.fr/canon-f17548
BRIEFCAM,CANON,a pour actionnaire,https://www.ugap.fr/canon-f17548
BRIEFCAM,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam
BRIEFCAM,Analyse vidéo,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam|fiche_17548_BriefCamV6_FR_\(1\).pdf
BRIEFCAM,reconnaissance faciale,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/briefcam/briefcam|fiche_17548_BriefCamV6_FR_\(1\).pdf
CABINET D’AVOCATS DU MANOIR DE JUAYE,AN2V,est membre,https://an2v.org/membres/
CAMTRACE,AN2V,est membre,https://an2v.org/membres/
CAP SECURITE,AN2V,est membre,https://an2v.org/membres/
CASD,AN2V,est membre,https://an2v.org/membres/
CASD,UGAP,est fourni par,https://www.ugap.fr/casd-f17224
CASD,vidéo verbalisation,fonctionnalité,fiche_17224_CASD_plaquette.pdf
CASD,VMS - hyperviseur,fonctionnalité,https://www.ugap.fr/casd-f17224
CASD,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
CEIS,THALES,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=414881821
